Target,feat-sim,degree,reverse-knn-rank,local-clustering-coef,edge-expansion-diff,conductance-diff,normalized-cut-size-diff,volume_diff
0,7.2209921777880485e-112,6.183185866646426e-14,0.16684398973658424,6.180498469360102e-35,0.3783102786912397,0.959014754812482,0.9941361217416772,0.24597973996248151
1,0.00048580231442880826,7.846526105110502e-16,0.533354976547348,4.836990214404969e-34,0.5060390807290338,0.5111042094958784,0.5423528645872068,0.6430418392365564
2,2.1543057630699204e-05,3.711297544067814e-15,0.6801498585060786,2.037210901736431e-36,0.4512734775344377,0.4496581854746664,0.46790874899244206,0.6394149820751912
4,1.6690715166370408e-16,1.90322826403674e-12,0.11446116967589791,3.986984025626895e-38,0.011995134495065132,0.9641248775137298,0.9434611036824848,0.04129482906564316
5,0.00016906811564315437,2.020449748468226e-14,0.2704849895353734,3.5636956694235523e-37,0.3517935357262796,0.8562191160677167,0.8405300075775113,0.16396757311405824
6,1.1201647326156732e-16,2.3308195878023505e-13,0.166813415443312,4.74323829549052e-37,0.028714022053011958,0.5994220844515172,0.611683979518333,0.5058765485648381
7,2e-323,1.3645518612566609e-15,0.32105926747534713,3.6166845637731125e-35,0.031693622165126493,0.521311707008659,0.4852739249148752,0.017318563705025682
